time_step,bus_voltages,bus_angles,load_p,load_q,gen_p,gen_q,mean_bus_voltage,mean_bus_angle,sum_load_p,sum_load_q,sum_gen_p,sum_gen_q
0,"[1.06, 1.0450000000000004, 1.0100000000000002, 1.014583435247273, 1.0166108295457443, 1.0700000000000003, 1.0583876232411416, 1.0900000000000003, 1.0511155822827516, 1.0462050379944097, 1.054100663075875, 1.053341364105229, 1.0477711170012436, 1.0296666706736393]","[0.0, -5.689938615261936, -14.321740579290003, -11.570490199265713, -9.8592739184418, -15.933269150176667, -14.940302196254294, -14.940302196254288, -16.68917303467127, -16.87127243705588, -16.545281250259183, -16.87862811228916, -16.962426506249365, -17.922567073071583]","[23.96211142327013, 104.01985696184546, 52.78289981715725, 8.392260221974793, 12.367541379752327, 32.57522059845479, 9.938202894443833, 3.864856681172602, 6.73589307290082, 14.907304341665752, 16.453247014134792]","[14.023908528826299, 20.980650554936982, -4.306554587592328, 1.7667916256789038, 8.281835745369861, 18.330463116418628, 6.4046196430860265, 1.9876405788887668, 1.7667916256789038, 6.4046196430860265, 5.521223830246575]","[40.0, 0.0, 0.0, 0.0]","[54.06772755189817, 32.90656438591154, 17.951116593353582, 19.561448008604152]",1.0461987373690935,-13.50890466203865,285.9993944067725,81.16199030462464,40.0,124.48685653976744
1,"[1.06, 1.045, 1.01, 1.0105663409331898, 1.0127890258516412, 1.07, 1.054369413255078, 1.0899999999999999, 1.04499207271351, 1.0401508490821871, 1.0505565544671507, 1.0510402208912994, 1.044508157999892, 1.0222799084463667]","[0.0, -6.57357321457588, -16.310933714152196, -13.137916536591923, -11.211929395138148, -18.06969127527652, -16.91084635336069, -16.910846353360697, -18.872395653406997, -19.08383253274631, -18.733779130252273, -19.127331653946268, -19.21492536791963, -20.279530380429712]","[26.74193049294084, 116.0870899739644, 58.90618790610932, 9.365837407665916, 13.802286706033984, 36.35423730607165, 11.091123245920164, 4.313214595635619, 7.517316866679223, 16.63668486888025, 18.361970707134496]","[15.650807247020676, 23.414593519164793, -4.806153406565405, 1.9717552437191403, 9.24260270493347, 20.456960653586084, 7.147612758481884, 2.218224649184033, 1.9717552437191403, 7.147612758481884, 6.161735136622314]","[40.0, 0.0, 0.0, 0.0]","[68.03302118822202, 42.879219944267376, 24.65767735702244, 22.047879393678656]",1.0433037531171654,-15.316966540082662,319.17788007703587,90.57750650834802,40.0,157.61779788319052
2,"[1.06, 1.0449999999999997, 1.01, 0.9994816164449097, 1.002026290298096, 1.07, 1.0435561884275582, 1.09, 1.0287836368335797, 1.0242385996498804, 1.0412916965327659, 1.0451870412201918, 1.0361524871731316, 1.0030641694830196]","[0.0, -8.836314978861031, -21.378367630264485, -17.135691175159426, -14.660957952513414, -23.531275961121366, -21.939724116559635, -21.939724116559635, -24.448051574498393, -24.73565726990201, -24.324448204310208, -24.870820635339456, -24.96769533191106, -26.30533947453449]","[33.62082282377392, 145.9484566820048, 74.05877101273703, 11.775034721690407, 17.352682747754287, 45.70572688024566, 13.944120065159693, 5.422713358673214, 9.451014710830458, 20.91618009773954, 23.085265441208826]","[19.676702758614233, 29.43758680422602, -6.042452028235867, 2.478954678250612, 11.620100054299742, 25.7191547868501, 8.986210708658469, 2.7888240130319386, 2.478954678250612, 8.986210708658469, 7.746733369533162]","[40.0, 0.0, 0.0, 0.0]","[107.94684349953482, 69.3236913189462, 42.7456510118144, 28.739003470883716]",1.0356272661473667,-19.93386203010962,401.28078854181786,113.87698053213751,40.0,248.75518930117914
3,"[1.06, 1.0449999999999995, 1.0100000000000005, 0.993978916238695, 0.9965853772225635, 1.07, 1.0383117151053023, 1.0900000000000003, 1.0210458704122332, 1.0166948018022712, 1.0369232195152198, 1.0425055164526853, 1.0322964958944436, 0.9940479078346685]","[0.0, -9.881780213970647, -23.70727880495562, -18.97613741875761, -16.24829163286545, -26.052431444356632, -24.256682913658718, -24.256682913658718, -27.018924779480777, -27.342275896748003, -26.903079456692108, -27.5193316069264, -27.6202758889351, -29.086822647950374]","[36.6795829828559, 159.22657681958648, 80.7965007640789, 12.846305560815892, 18.931397668570792, 49.86394921632485, 15.21273026938724, 5.916061771428371, 10.31085051591802, 22.819095404080866, 25.18552011265221]","[21.46685271346866, 32.11576390203973, -6.592183116734471, 2.7044853812243983, 12.677275224489366, 28.059035830203136, 9.803759506938444, 3.0425460538774485, 2.7044853812243983, 9.803759506938444, 8.451516816326244]","[40.0, 0.0, 0.0, 0.0]","[128.36612847578445, 81.95465043659755, 51.53450006652595, 31.984235330809398]",1.0319564157484347,-22.062142544211156,437.7885710856996,124.23729719999581,40.0,293.83951430971734
4,"[1.06, 1.045, 1.0100000000000007, 0.9849726893861275, 0.9875652415137487, 1.07, 1.0298720302193025, 1.09, 1.0087393199666352, 1.004760013995337, 1.0300414011626424, 1.0383789573169055, 1.0263263358570975, 0.9798975566097229]","[0.0, -11.503930918943194, -27.305755445456825, -21.824990331800645, -18.704711774178524, -29.964592485476622, -27.84601506863651, -27.846015068636508, -31.004171942295407, -31.383752478894742, -30.901554955418455, -31.62522736059328, -31.73219802649412, -33.40224385993115]","[41.27147309793498, 179.1600352914966, 90.91135548761716, 14.454525140290594, 21.301405469901933, 56.10638047875955, 17.117200824028334, 6.656689209344352, 11.601658336285873, 25.675801236042506, 28.338476919780245]","[24.15427227390665, 36.13631285072648, -7.4174536904122785, 3.043057924271704, 14.264334020023611, 31.571725964318933, 11.031084975484928, 3.4234401648056676, 3.043057924271704, 11.031084975484928, 9.509556013349075]","[40.0, 0.0, 0.0, 0.0]","[162.46665040665448, 102.02841649983705, 65.6934428533594, 37.20663472095391]",1.0261109675733944,-25.36036855119686,492.59500149148215,139.79047339623142,40.0,367.3951444808048
5,"[1.06, 1.0450000000000002, 1.0099999999999998, 1.00842540065027, 1.0107335726959188, 1.0699999999999998, 1.0522514723534127, 1.09, 1.041787771251401, 1.0369925223007348, 1.0487119678361154, 1.0498564064305316, 1.0428247811909959, 1.0184435166692574]","[0.0, -7.029345736785166, -17.334656551555753, -13.944929908663466, -11.908283211171094, -19.17068695288573, -17.925633062236205, -17.925633062236198, -19.997048557786425, -20.223703689848538, -19.861275816203676, -20.285772057365563, -20.375286133869277, -21.494242346966598]","[28.15545736501172, 122.22322966747026, 62.01985539389679, 9.860897510326687, 14.5318489625867, 38.27585217824175, 11.677378630650024, 4.541202800808342, 7.9146677385516835, 17.51606794597504, 19.332549066298373]","[16.4780787343617, 24.652243775816714, -5.060197406615011, 2.075978423226671, 9.731148858875018, 21.538276140976713, 7.525421784196682, 2.335475726130005, 2.075978423226671, 7.525421784196682, 6.487432572583346]","[40.0, 0.0, 0.0, 0.0]","[75.59535239952525, 48.10298870784695, 28.196253276510546, 23.358441745546855]",1.0417876722413313,-16.24832122054098,336.04900725981736,95.3652588169752,40.0,175.2530361294296
6,"[1.06, 1.0450000000000002, 1.01, 1.018444333401041, 1.0202360215214852, 1.0699999999999998, 1.0623106928984143, 1.0899999999999999, 1.057154755626484, 1.0522010109337565, 1.0576217437436262, 1.0556630861358016, 1.0510511146312749, 1.0370267459069156]","[0.0, -4.801134054677909, -12.314892090194112, -9.98986023564977, -8.4950179257289, -13.781339527193479, -12.953636264347722, -12.953636264347722, -14.488960586784883, -14.641763445975728, -14.340062902418572, -14.61258790141195, -14.69247298503548, -15.54872792144894]","[21.1144874959499, 91.65828212527562, 46.51025356250715, 7.394935712867247, 10.89779999790963, 28.704026780208395, 8.75716071260595, 3.4055624993467575, 5.935408927432922, 13.135741068908928, 14.49796606864763]","[12.35732678334395, 18.487339282168115, -3.7947696421292454, 1.556828571129947, 7.297633927171624, 16.1520964254732, 5.643503570346057, 1.7514321425211903, 1.556828571129947, 5.643503570346057, 4.865089284781083]","[40.0, 0.0, 0.0, 0.0]","[40.95746611484884, 23.088752798482673, 11.413358640352143, 17.133888584007]",1.0490506789142,-11.686720864658227,252.01162495166014,71.51681248628192,40.0,92.59346613769065
7,"[1.06, 1.0450000000000002, 1.01, 1.024578386758138, 1.0258799788570643, 1.0700000000000003, 1.0686913057723721, 1.09, 1.067122431594568, 1.0621568268965593, 1.063493929743257, 1.0596170101490792, 1.0566096762876989, 1.0493517541428565]","[0.0, -3.2926098603931506, -8.894542428399955, -7.296892479099394, -6.170236336407636, -10.12020413801593, -9.569661859177018, -9.569661859177018, -10.743208940472158, -10.846744857815917, -10.586455824227192, -10.755215355569623, -10.828237728697545, -11.510824343833853]","[16.165805271977842, 70.17598417605129, 35.609469677444274, 5.661756685116664, 8.343641430698243, 21.976555554071265, 6.704711863953944, 2.6073879470932, 4.544304707791007, 10.057067795930918, 11.100022974768198]","[9.461093408023897, 14.154391712791659, -2.9053751410467092, 1.1919487758140348, 5.587259886628286, 12.36646854907061, 4.320814312325876, 1.340942372790789, 1.1919487758140348, 4.320814312325876, 3.7248399244188577]","[40.0, 0.0, 0.0, 0.0]","[20.891029654201006, 6.938391272708657, 0.805836576211628, 13.185624018231238]",1.0537500928715426,-8.584606857949026,192.94670808489687,54.75514688895721,40.0,41.82088152135253
8,"[1.06, 1.0450000000000002, 1.01, 1.0287205451620944, 1.029592475684617, 1.07, 1.0731267169042873, 1.09, 1.0741739352225836, 1.069249095376443, 1.0676980373630611, 1.0625136469770702, 1.0606605923904178, 1.0582173981193463]","[0.0, -2.1905826536231783, -6.384154962884466, -5.320565793942325, -4.463767312972605, -7.437014505219845, -7.086546450533458, -7.086546450533458, -7.996157993093344, -8.064041041488927, -7.834142661530804, -7.926735208986528, -7.994565684041315, -8.552313599302073]","[12.461100589107291, 54.093809930594794, 27.448875952042783, 4.364256427521448, 6.431535787926346, 16.94020586998457, 5.168198401012241, 2.009854933726982, 3.502890027352741, 7.752297601518363, 8.556239575009155]","[7.2929021880950495, 10.910641068803619, -2.239552640438638, 0.9187908268466208, 4.306832000843533, 9.532454828533691, 3.330616747319, 1.0336396802024483, 0.9187908268466208, 3.330616747319, 2.871221333895689]","[40.0, 0.0, 0.0, 0.0]","[8.000235425016228, -4.4317497201071046, -6.544810195364171, 10.441032400980397]",1.0570680316571375,-6.309795308439452,148.72926509579673,42.20695360826663,40.0,7.46470791052535
9,"[1.06, 1.0450000000000002, 1.01, 1.0300272321083597, 1.0307436530363345, 1.07, 1.0745516506822714, 1.09, 1.0764636262782938, 1.0715615582094684, 1.0690727953065564, 1.0634732994668592, 1.061998770006375, 1.0611245696017726]","[0.0, -1.8259119887204818, -5.55120010643093, -4.664758982207509, -3.8974455199117464, -6.547256995237343, -6.262587439176157, -6.262587439176159, -7.084897974307386, -7.141042308545117, -6.921225636027247, -6.988556821064617, -7.054635360310678, -7.571437237789165]","[11.218920300390833, 48.70148812427726, 24.71264471698994, 3.929207109814301, 5.7904104776210765, 15.251527597305513, 4.653008419516935, 1.8095032742565857, 3.153705706561478, 6.979512629275405, 7.703313938978038]","[6.565911880873896, 9.823017774535751, -2.0163036484573387, 0.8272014968030109, 3.8775070162641123, 8.582215529331238, 2.9986054259109145, 0.9306016839033873, 0.8272014968030109, 2.9986054259109145, 2.585004677509408]","[40.0, 0.0, 0.0, 0.0]","[4.068258529894479, -8.111383000046994, -8.901528359304798, 9.559296483862768]",1.0581440824783066,-5.555253129207467,133.90324229498736,37.99956875938831,40.0,-3.385356345594545
