time_step,bus_voltages,bus_angles,load_p,load_q,gen_p,gen_q
0,"[1.06, 1.0450000000000002, 1.01, 1.0171448532151792, 1.019021547498779, 1.0699999999999998, 1.0609830531178062, 1.0900000000000003, 1.055103896756562, 1.0501619158787887, 1.056423038471966, 1.0548686427548142, 1.0499301253434035, 1.0345186524492442]","[0.0, -5.10498154464828, -13.001642520337803, -10.530692010339498, -8.961837579296548, -14.517380003291397, -13.633351540540248, -13.633351540540252, -15.241640934214125, -15.404435859571754, -15.094421848576824, -15.387767730575927, -15.469001428472426, -16.360638191674536]","[22.09373330635923, 95.90920172622302, 48.66730193751019, 7.737897379185721, 11.403217190378957, 30.035259563944578, 9.16329952798309, 3.563505371993424, 6.2106807911885396, 13.744949291974637, 15.170351440772007]","[12.93043377837614, 19.344743447964305, -3.970763128792673, 1.629031027196994, 7.63608293998591, 16.901196907168814, 5.905237473589103, 1.8326599055966182, 1.629031027196994, 5.905237473589103, 5.090721959990606]","[40.0, 0.0, 0.0, 0.0]","[45.33291359765934, 26.420510208557552, 13.624649025538076, 17.955419870332967]"
1,"[1.06, 1.0450000000000002, 1.0100000000000002, 1.017014517781767, 1.0188994107661549, 1.07, 1.0608503109209062, 1.0899999999999999, 1.0548992520068048, 1.049958611335583, 1.056303595758046, 1.0547897121676337, 1.0498186746842246, 1.0342688785157392]","[0.0, -5.135185279908132, -13.069869221207023, -10.58442549552545, -9.00821641750405, -14.59052311554868, -13.700886069052958, -13.70088606905296, -15.316430572271477, -15.480220057977851, -15.169380180894168, -15.464794175728752, -15.546161317814416, -16.441322675466196]","[22.1907491436154, 96.33034881698482, 48.88100502602838, 7.771875276104932, 11.453289880575689, 30.167147453302043, 9.203536511176893, 3.579153087679903, 6.237952524242117, 13.80530476676534, 15.236966001837303]","[12.987212632438506, 19.429688190262333, -3.9881991548433207, 1.63618426865367, 7.669613759314078, 16.97541178728183, 5.931167973869553, 1.8407073022353788, 1.63618426865367, 5.931167973869553, 5.113075839542719]","[40.0, 0.0, 0.0, 0.0]","[45.77391009953935, 26.753106823470553, 13.845812054540158, 18.03755952098337]"
2,"[1.06, 1.045, 1.01, 1.0229973769603815, 1.024440506573232, 1.07, 1.0670272438635746, 1.0899999999999996, 1.0645040557371532, 1.0595340078695465, 1.0619436952263277, 1.05856298100928, 1.0551311990086727, 1.0460916130365068]","[0.0, -3.6942054354669467, -9.806881164557147, -8.01514256935309, -6.7903410712475445, -11.096082814909398, -10.47214282582453, -10.47214282582453, -11.741934802258239, -11.858532559316417, -11.587197328875664, -11.783641406665842, -11.858518085398467, -12.587018865018662]","[17.497225195541084, 75.95569647096637, 38.54227485469418, 6.128060437148029, 9.030825907376043, 23.786550381035116, 7.2569136755700345, 2.8221330960550137, 4.9185748245530245, 10.885370513355053, 12.014223751777058]","[10.24031151997105, 15.320151092870075, -3.1446625927470153, 1.2901179867680064, 6.04742806297503, 13.384974112718066, 4.676677702034023, 1.4513827351140072, 1.2901179867680064, 4.676677702034023, 4.0316187086500195]","[40.0, 0.0, 0.0, 0.0]","[25.96185151187086, 11.173078722273868, 3.568825515448369, 14.215330223504608]"
3,"[1.06, 1.0450000000000002, 1.0100000000000002, 1.0172468293544648, 1.0191170678947188, 1.07, 1.0610869646036372, 1.09, 1.0552641451766287, 1.0503211357648976, 1.0565165902630982, 1.0549304930425432, 1.0500174487704081, 1.0347143019522858]","[0.0, -5.081315781488468, -12.94817938986167, -10.488586357888122, -8.925494877500919, -14.460066842311125, -13.580431691433095, -13.580431691433095, -15.183036701384486, -15.345052517291245, -15.035685670667913, -15.327410907723088, -15.408539969550125, -16.297416029209348]","[22.017676551919934, 95.57903830372616, 48.49976678257016, 7.71125999053417, 11.363962091313514, 29.931864436941847, 9.13175525194836, 3.5512381535354733, 6.189300781876112, 13.697632877922539, 15.118128139336728]","[12.885921299971574, 19.278149976335428, -3.957093942510956, 1.6234231559019308, 7.6097960432903005, 16.84301524248253, 5.8849089401444985, 1.826351050389672, 1.6234231559019308, 5.8849089401444985, 5.073197362193533]","[40.0, 0.0, 0.0, 0.0]","[44.98814070362107, 26.16008515679177, 13.45152988278911, 17.89112039854422]"
4,"[1.06, 1.045, 1.0100000000000002, 1.0111200463101857, 1.0133185948846266, 1.0700000000000003, 1.0549197397668184, 1.0899999999999999, 1.0458272423666086, 1.0409751111081305, 1.0510384340327767, 1.0513510300059812, 1.0449495869332728, 1.0232830348435908]","[0.0, -6.4540501629847284, -16.04221353923531, -12.926123453283084, -11.029168614576616, -17.78086348420294, -16.64455157771267, -16.64455157771267, -18.577309055064497, -18.784764916714455, -18.43796087506905, -18.823385960690167, -18.91047187064984, -19.960876809266693]","[26.368946574253066, 114.46796162648104, 58.08459199305512, 9.235207095130106, 13.60977887703384, 35.847185435044494, 10.936429454759335, 4.253055899073075, 7.412468852670218, 16.404644182139002, 18.105866541768233]","[15.43251711949373, 23.088017737825265, -4.7391194303957125, 1.9442541252905488, 9.113691212299447, 20.171636549889442, 7.047921204178238, 2.187285890951867, 1.9442541252905488, 7.047921204178238, 6.075794141532964]","[40.0, 0.0, 0.0, 0.0]","[66.09015815980084, 41.5182261059111, 23.738605094904933, 21.707342409405562]"
5,"[1.06, 1.0450000000000002, 1.01, 1.0094790080722573, 1.0117466402025637, 1.0699999999999994, 1.053291822373985, 1.09, 1.0433598180987773, 1.0385412026386878, 1.049616096685415, 1.0504354851063091, 1.0436486356434025, 1.0203232496356671]","[0.0, -6.80629142372458, -16.833841221655586, -13.550098011903726, -11.567598596271843, -18.631933929147237, -17.429127428157507, -17.429127428157507, -19.446759352444584, -19.66595920056013, -19.309584123867374, -19.718946225869377, -19.80752365682668, -20.899840274077842]","[27.46541762022741, 119.22775759564156, 60.49986001137649, 9.619224604319276, 14.175699416891566, 37.337779714134044, 11.391187031430722, 4.429906067778615, 7.720693432414158, 17.086780547146084, 18.85874297425753]","[16.074230588796688, 24.048061510798192, -4.936181046953314, 2.0250999166987955, 9.492655859525602, 21.01041163575, 7.340987198033132, 2.2782374062861446, 2.0250999166987955, 7.340987198033132, 6.328437239683735]","[40.0, 0.0, 0.0, 0.0]","[71.86398530914482, 45.539800562471115, 26.45778245716005, 22.714682720610977]"
6,"[1.06, 1.045, 1.01, 1.0129698248913734, 1.015081405508373, 1.0699999999999998, 1.0567662709588959, 1.0900000000000003, 1.048637517606251, 1.0437520247278371, 1.0526633512487427, 1.0524038719461293, 1.0464432403601411, 1.0266684397584345]","[0.0, -6.049584321262187, -15.132068853611221, -12.208907579839096, -10.410239430633462, -16.803131851278238, -15.74284713394337, -15.742847133943364, -17.578230758266926, -17.772244648513453, -17.436449050378762, -17.794332973134672, -17.879687558296588, -18.882202115831547]","[25.099737696584917, 108.9583083418571, 55.288823128882896, 8.790691543504394, 12.954703327269636, 34.121763228076276, 10.4100294594131, 4.048344789771761, 7.055686633602213, 15.615044189119649, 17.234382105028356]","[14.68970823717182, 21.97672885876099, -4.511012765745677, 1.8506719038956625, 8.675024549510916, 19.200721002917497, 6.708685651621775, 2.08200589188262, 1.8506719038956625, 6.708685651621775, 5.783349699673945]","[40.0, 0.0, 0.0, 0.0]","[59.64031937553132, 36.940467802453064, 20.65606457927408, 20.564725889755344]"
7,"[1.06, 1.0449999999999997, 1.01, 1.012609409091782, 1.014738716657498, 1.0699999999999998, 1.0564054949325385, 1.09, 1.0480874603960506, 1.0432080875521652, 1.0523448841867877, 1.0521969418830035, 1.0461498720615836, 1.0260045893479577]","[0.0, -6.129031064171621, -15.31094031771614, -12.349848738043606, -10.531869553414865, -16.995224711841498, -15.920033485129158, -15.920033485129155, -17.77453682289043, -17.97118744063804, -17.633228009614815, -17.99652623094397, -18.082222461765642, -19.09412408089928]","[25.349894729014135, 110.0442434780245, 55.83986027865785, 8.878304144723844, 13.083816634329876, 34.46183845649387, 10.513781224015078, 4.088692698228087, 7.126007274054666, 15.770671836022618, 17.406148915313857]","[14.836113504999057, 22.19576036180961, -4.555971863739868, 1.8691166620471256, 8.761484353345898, 19.392085368738925, 6.775547899920829, 2.102756244803016, 1.8691166620471256, 6.775547899920829, 5.840989568897267]","[40.0, 0.0, 0.0, 0.0]","[60.89198305135554, 37.836233971206305, 21.258176154972716, 20.787970776913518]"
8,"[1.06, 1.0450000000000004, 1.0099999999999998, 1.0168000927869356, 1.0186983469496025, 1.0699999999999998, 1.0606320885289033, 1.0900000000000003, 1.054562983561484, 1.0496246100079714, 1.056107396074301, 1.0546601488867733, 1.049635700099659, 1.0338586481659027]","[0.0, -5.184770439419591, -13.181860964223423, -10.672628545408651, -9.08434637021923, -14.710592842401708, -13.811744431308819, -13.811744431308826, -15.439200410136383, -15.604623171536641, -15.29242768782362, -15.591236256783242, -15.672822232253957, -16.57377282746865]","[22.349891100830487, 97.02118625337474, 49.2315573557464, 7.827611629783948, 11.535427664944766, 30.383492510345594, 9.269540087902044, 3.60482114529524, 6.282688281800276, 13.904310131853066, 15.346238589971167]","[13.08035101292844, 19.569029074459873, -4.016800704757553, 1.6479182378492527, 7.724616739918369, 17.097151717685996, 5.97370361220354, 1.853908017580409, 1.6479182378492527, 5.97370361220354, 5.149744493278914]","[40.0, 0.0, 0.0, 0.0]","[46.500260688488495, 27.29967545169235, 14.209421578292147, 18.172593530227402]"
9,"[1.06, 1.045, 1.01, 1.012346610577948, 1.0144886020576624, 1.0699999999999998, 1.0561427408877069, 1.0899999999999996, 1.0476871562486352, 1.042812363485401, 1.0521132493334773, 1.0520466120446612, 1.0459366854284102, 1.0255218487164373]","[0.0, -6.186761983892995, -15.44088947699463, -12.452245862828965, -10.620235700387727, -17.13479774721183, -16.048766290466727, -16.048766290466727, -17.917165256806587, -18.11573298093705, -17.776201634316475, -18.143432834219173, -18.229376844001475, -19.248105728695727]","[25.53141283723031, 110.83221609525783, 56.239702010120205, 8.9418773070484, 13.177503399860804, 34.70860270499051, 10.589065232031002, 4.117969812456502, 7.177033101709903, 15.883597848046504, 17.53078577302911]","[14.942347605199304, 22.35469326762101, -4.588594933880101, 1.882500485694401, 8.8242210266925, 19.53094253907941, 6.824064260642202, 2.1178130464062006, 1.882500485694401, 6.824064260642202, 5.882814017795002]","[40.0, 0.0, 0.0, 0.0]","[61.80619891685595, 38.48820455275069, 21.696744068148803, 20.950560563383046]"
